,JobText
0,"21 Tech is looking for a Legal Editor to work at our client's site in Eagan, MN-. This is a 3-month contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Job Description:
Candidates selected for this position will be working on one to three workflows. The two main workflows are Intelligence Report fulfillment and tracking Judicial Motions. This includes reviewing large numbers of documents to identify and categorize relevant information.


Key Responsibilities: 

·         Ability to create complex queries, use advanced search techniques on the Internet, and review and analyze trial documents, including dockets. 

·       Follow established standards and guidelines to organize and/or classify information. 

 

Requirements/Education: 

·         Juris Doctor (bar admission is not required for this position) 

Experience: 

·         2-3 years of RECENT legal industry or legal information experience 

Knowledge and Skills:

·         Thomson Reuters Westlaw experience 

·         Demonstrated ability to manage multiple tasks and meet deadlines 

·         Strong understanding of technology and Internet research 

·         Strong PC skills including the Microsoft Office suite 

·         Ability to learn new software programs quickly 

·         Analytical, problem solving and organizational ability 

·         Demonstrated oral and written communication skills"
1,"21 Tech is looking for a Business Data Analyst to work at our client's site in Chicago, IL. This is a 3 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Day-to-day operations include analysis of weather data (past and forecast), in relation to various sectors, including agriculture (corn, soybeans, wheat) and energy (power and gas). Expertise in any of the following fields/markets would be highly beneficial: Meteorology, Atmospheric sciences, Climatology, Agriculture, Crop Production, Natural Gas, Power production, to name a few. 

The short-term role will be based in our client´s office in downtown Chicago. The analyst will be expected to interpret results using a variety of techniques, work with colleagues to understand impacts on crops and energy markets, talk with clients on occasion, and write reports to be published to applications within one of our client´s products.. Requires a bachelor's degree in area of specialty and 4-6 years of experience in the field or in a related area, if possible. A wide degree of creativity and latitude is expected. Will report directly to Head of Weather Research, also located in Chicago office."
2,"Talent Table a 21 Tech Subsidiary is looking for a Customer Service Administrator to work at our client's site in Redwood Shores, CA. This is a 9 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Job Description:

Open and prepare classrooms for the day.  Restock Kitchen and make coffee.  Meet and greet students in the lobby. Show them around and escort them to class.  Maintain instructor and office supplies as needed.   Email instructors and send rosters for classes scheduled the following week.  Maintain tidy and organized environment throughout the Ed Center (classrooms, kitchen, OU office area).  Assist with computer issues as needed.  Inventory equipment as needed.  Other tasks as requested by manager.

***Hours are from 7:30 am - 11:30am

 

 

 

 "
3,"21Tech is looking for a Senior Infor EAM Functional Consultant.  This is a great opportunity to be part of a successful, growing, entrepreneurial international business and a chance to work with many different applications and data networks. 

 

Summary/General Job Description:

The Senior Infor EAM Consultant position is responsible for providing technical consulting and management of IT improvement programs for clients in the public sector and private industry. Responsibilities include project planning, scope management, project change control, schedule and budget management, requirements definition, COTS software selections, software implementation, integration, conversion, training, deployment and continuing support.  

 

Essential Duties and Responsibilities:


	Conduct interviews with stakeholders to assess use of current system 
	Lead business process sessions to document As-Is processes 
	Develop Functional and technical requirements for To-Be business processes 
	Maintain excellent client relations, meets customer expectations for quality


 

Desired Skills and Experience:


	5 plus years of technology-related consulting experience in Asset Management solutions
	Experience configuring for CMMS implementation in Facilities management for at least 5 years 
	Extensive experience with Infor EAM 
	Experience integrating INFOR EAM to other external systems such as VFA, PeopleSoft, Archibus and fleet systems 
	Some experience with developing FlexSQL, Inbox and KPIs in Infor EAM 
	Experience leading business process analysis workshops and documenting To-Be business process based on best practices 
	Familiar with Asset management concepts 
	Project management experience a plus 
	Managed multiple staff over the course of large, multi-year projects a plus 
	BS in Business, Information Technology or Engineering or related field, advanced education degree a plus 
	Excellent written and verbal presentation skills with the ability to present complex ideas in a clear and concise manner to internal and external audiences 
	Thorough knowledge of Microsoft Office products


 

In order to prevent any malicious intent, please note that anyone contacting you from an email domain other than 21tech.com is not representing 21Tech. During an interview, an authorized company representative will NEVER ask for personal or financial information.

 

About 21Tech:

21Tech services Fortune 100 companies and State and Local agencies across the country and in Canada. We specialize in managing large-scale application implementations, project management, business processes and deliver comprehensive technology solutions. Our Clients and Partners include: AT&T, Oracle, Wells Fargo, the City and County of San Francisco, the Judicial Council of California, the City of Oakland, the City of Santa Barbara, the City of San Diego, Accela, Infor, and Thompson Reuters. Outside California some of the Clients we work with are City of Chicago, the City of Indianapolis, Salt Lake City, New York/New Jersey Port Authority, Vancouver bus and Transit, and NY MTA."
4,"21 Tech is looking for a Legal Editor to work at our client's site in Eagan, MN. This is a 2-month contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Primary Objective: 

 

2-Month Contract
 

Job Description:

Classification of trial court documents to expert witness taxonomies. 

Education Required:


	Must be graduate of accredited law school.
	 


Requirements: 


	Must be proficient with Microsoft applications such as Excel.
	Proficiency in use of Westlaw Next is a plus.


 

In order to prevent any malicious intent, please note that anyone contacting you from an email domain other than 21tech.com is not representing 21Tech. During an interview, an authorized company representative will NEVER ask for personal or financial information.

 

About 21Tech:

21Tech services Fortune 100 companies and State and Local agencies across the country and in Canada. We specialize in managing large-scale application implementations, project management, business processes and deliver comprehensive technology solutions. Our Clients and Partners include: AT&T, Oracle, Wells Fargo, the City and County of San Francisco, the Judicial Council of California, the City of Oakland, the City of Santa Barbara, the City of San Diego, Accela, Infor, and Thompson Reuters. Outside California some of the Clients we work with are City of Chicago, the City of Indianapolis, Salt Lake City, New York/New Jersey Port Authority, Vancouver bus and Transit, and NY MTA."
5,"21 Tech is looking for a Human Resources Advisor to work at our client's site in Hoboken, NJ or Eagan, MN. This is a 12 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Core Responsibilities: 
• Assist managers and employees in understanding and applying Human Resources tools in order to maximize employee performance, achieve organizational effectiveness, improve employee engagement, and ensure legal compliance. 
• Implement and administer the following human resources functions: employee relations, organizational development, performance management, engagement survey initiatives, talent reviews and employee on boarding 
• Identify and drive initiatives and activities that support the organization’s culture - the complex but powerful element that shapes work enjoyment, work relationships and work processes of an organization. 
• Partner with Recruiting and line management to ensure the company hires top talent who meet current and future business needs. 
• Drive, influence, advise and support the cultural and people aspects of organizational change 
• Embed a performance management culture within the business site as a means of driving business improvement 
• Build leadership capabilities at all levels and ensure we are developing a strong leader pipeline, defining what it means to successfully manage others in our organization. 

Education and Experience: 
• Bachelor's Degree and 5+ years of Human Resources Management level experience. 
• PHR or SHRM-CP preferred. 
• Thorough knowledge of a broad range of Human Resources responsibilities. 
• Working knowledge of Workday a plus. 


Candidate Profile: 
• Demonstrated communication skills, both written and verbal. 
• Change Management background and experience is helpful. 
• Strong interpersonal, facilitation and negotiation skills. 
• Commercially focused. 
• Experience of advising on complicated Employee Relations issues. 
• Demonstrate evidence of influencing and coaching skills. 
• Ability to manage own time and workload, juggling conflicting priorities. 
• Must be able to effectively manage multiple regional locations in a high-touch personal way. 
• Ability to develop creative solutions. 
• Must have strong talent assessment skills. 
• Must have a strong background using analytics"
6,"Talent Table a 21 Tech Subsidiary is looking for a Spreadsheet Specialist to work at our client's site in Rocklin, CA. This is a 3 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Main Job Tasks and Responsibilities:

•             Access Reporting System

•             Has ability to format reports, use formulas/functions, sort data

•             Maintain records of activities and tasks

•             Respond to requests for information

 

Education and Experience:

•             MUST HAVE 1-2 years experience

•             Possess strong knowledge of Microsoft Excel

•             Formal computer training

•             Proficient in relevant web-based applications

•             Accurate keyboard skills and proven ability to enter data at the required speed

•             Knowledge of correct spelling, grammar and punctuation

•             Knowledge of clerical and administrative procedures"
7,"Talent Table a 21 Tech Subsidiary is looking for a  Software QA Engineer  to work at our client's site in Portland, OR. This is a 9 months contract position .You must be authorized to work in the United States without sponsorship, No H1B

We're taking on bold challenges and we're looking for an experienced and motivated Software Development Engineer in Test (SDET) to help us build high-quality, cutting-edge user experiences that transform the power of our global scale big data into intuitive interfaces. If you're passionate about using the latest technologies to deliver best-in-class apps and working in a fun, intense environment, where you'll collaborate every day with your team of talented developers, testers, and designers then please apply.

Who are we?

Our development teams focus on enabling our customers to solve their unique business challenges by leveraging the power of our big data and streaming data platforms. Our developers design solutions that rely on choosing the right tool for the job, often with cutting edge technologies. We offer a highly collaborative work environment where accountability, innovation, and initiative are valued and best practices, coding standards, and a test driven attitude are leveraged to produce software of the highest quality.

Who are you?

You are a curious, engaged and confident SDET who enjoys crafting automation solutions. You embrace collaboration and are driven to help your peers and team succeed. You are quick to identify problems and act to solve them, drawing on your team in the process. You have something to teach us and are not afraid to share it.

What will you do?

You will spend every day working with some of the most talented developers and testers in the country to solve some very challenging business problems in our industry. As a part of the QA team, your focus will be to develop and deliver test automation software to expose defects and validate components and features. Your fellow team members will be doing the same in other cross-functional project teams, but you will all come together in support of maintaining and maturing our automation framework and the platform it is built on. 

 

What do you need to bring to us?

• BS degree in Computer Science or equivalent experience

• 4+ years experience in QA testing (automation, regression, manual testing, etc.)

• 4+ years experience in Java

• Experience with one or more of the following: Groovy, Javascript, Scala, Hadoop, SQL

• Experience with Selenium 

• Experience with Git

• Enjoy working in an agile development environment with aggressive release schedules

• Complete understanding of QA processes and methodologies

• Excellent communication skills and the ability to work well in a team

 

What we will be extra impressed by

• Experience in building and deployment of software using Jenkins, Artifactory, and Rundeck

• Mobile App and SDK testing

• Advocate of Agile practices and methodologies

 

Other Job Information

This is an individual contributor position reporting to the Sr. Manager of QA. This position operates in a high-rise in downtown Portland or downtown Seattle. Travel requirements will be minimal. We offer an exceptional working environment, salary commensurate with experience and an incredible benefits package. Candidate must pass a background check.

Must be currently authorized to work in the United States for an indefinite period of time.

Oracle is an equal opportunity/affirmative action employer supporting workforce diversity. All qualified

applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, 

 "
8,"21 Tech is looking for a Legal Editor to work at our client's site in Eagan, MN. This is a 2 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

The Legal Editor position is primarily responsible for conducting in-depth research and analysis of legal information. The Legal Editor must be able to analyze large amounts of complicated legal information, identify legal issues, and critically assess the relevancy of caselaw and other resources to a legal issue. Westlaw expertise, advanced legal research skills, and a passion for delivering quality work are essential to this position. 
Key responsibilities include: conducting significant and advanced legal research across all types of content and practice areas; assessing, analyzing and interpreting legal information; identifying relationships and patterns among legal information sets; and communicating findings and questions with manager and team members. 

Qualifications, Experience, Knowledge and Skills: 
JD required 
Admission to a state bar preferred 
1–3 years of legal experience preferred 
Strong legal research skills with experience using Westlaw and/or other online legal research tools 
Ability to interpret, analyze, organize, and express complex legal material quickly and accurately 
Ability to work independently and consistently meet deadlines 
Strong oral and written communication skills 
Comfortable using Microsoft Office applications (PowerPoint (especially), Word, and Excel)

 "
9,"Talent Table a 21 Tech Subsidiary is looking for a Data Entry 1 to work at our client's site in Rocklin, CA. This is a 3 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Main Job Tasks and Responsibilities:

– enter data from source documents into computer database

–  check completed work for accuracy

–  maintain records of activities and tasks

– respond to requests for information

– comply with data integrity and security policies

 

Education and Experience:

–  High school diploma

–  formal computer training

– proficient in relevant computer applications such as MS Office, web-based applications

– accurate keyboard skills and proven ability to enter data at the required speed

– knowledge of correct spelling, grammar and punctuation

– knowledge of clerical and administrative procedures

 

Key Competencies:

– planning and organizing

– problem solving

– attention to detail

– communication skills

– confidentiality

– ability to work under pressure"
